F,SD,SB,SC,SE
1,100.0,99.92783257156603,0.0,100.0
2,99.92781520692974,99.68719923002888,0.0,100.0
3,99.92779783393502,99.4705174488568,0.0,99.95186522262334
4,99.92778045257583,99.35002407318248,0.0,99.95185363505055
5,99.92776306284614,99.27763062846135,0.0,99.95184204189742
6,99.87957610789981,99.18111753371869,0.0,99.95183044315992
7,99.78318477475307,99.18092026017827,0.0,99.95181883883401
8,99.75903614457832,99.08433734939759,0.0,99.95180722891567
9,99.7589780670041,98.69848156182212,0.0,99.95179561340082
10,99.49373191899711,98.69816779170685,0.0,99.95178399228544
11,99.46949602122015,98.69785387026766,0.0,99.95177236556547
12,99.46936806560541,98.69753979739508,0.0,99.95176073323685
13,99.46924004825091,98.60072376357057,0.0,99.95174909529554
14,99.4449806949807,98.57625482625483,0.0,99.95173745173746
15,99.44484672942312,98.23799179338644,0.0,99.95172580255853
16,99.34814099468855,98.1651376146789,0.0,99.95171414775471
17,99.34798357884569,98.16469451823231,0.0,99.95170248732191
18,99.34782608695652,98.1159420289855,0.0,99.95169082125604
19,99.27518724329548,98.11548683256825,0.0,99.95167914955303
20,99.27501208313194,98.09086515224746,0.0,99.92750120831319
21,99.27483683828862,98.09040367416002,0.0,99.92748368382887
22,99.27466150870406,98.06576402321083,0.0,99.9274661508704
23,99.27448609431681,98.01692865779927,0.0,99.92744860943168
24,99.27431059506532,97.91969037252056,0.0,99.92743105950653
25,99.27413501088797,97.91918703121219,0.0,99.9274135010888
26,99.27395934172314,97.72507260406583,0.0,99.92739593417231
27,99.24957637375938,97.65190026627936,0.0,99.92737835875091
28,99.24939467312349,97.62711864406779,0.0,99.9273607748184
29,99.17655606684427,97.60232501816421,0.0,99.92734318236862
30,99.17635658914729,97.55329457364341,0.0,99.92732558139535
31,99.15192633874486,97.52847104434214,0.0,99.87884661982069
32,99.15172079495879,97.52787203102278,0.0,99.87881725642268
33,99.10303030303031,97.38181818181818,0.0,99.87878787878788
34,99.07856450048497,97.3811833171678,0.0,99.87875848690592
35,98.71452825612418,96.43463497453311,0.0,99.87872908076643
36,98.73847646773412,96.40950994662785,0.0,99.87869966035905
37,98.76243630186848,96.40863867993205,0.0,99.87867022567337
38,98.7864077669903,96.2378640776699,0.0,99.85436893203884
39,98.81039087157077,96.23695071619325,0.0,99.8543335761107
40,98.83438562408936,96.18746964545896,0.0,99.85429820301117
41,98.85839203303377,96.16225406849648,0.0,99.78139421909157
42,98.8824101068999,96.16132167152576,0.0,99.78134110787173
43,98.90643985419199,96.0145808019441,0.0,99.78128797083839
44,98.93048128342247,96.0136120563928,0.0,99.78123480797278
45,98.8572817894481,95.89107707269633,0.0,99.78118161925602
46,98.784046692607,95.8171206225681,0.0,99.78112840466926
47,98.80807589394308,95.81610313792265,0.0,99.78107516419362
48,98.83211678832117,95.81508515815085,0.0,99.78102189781022
49,98.83183256266732,95.76539303966902,0.0,99.78096860550012
50,98.83154819863681,95.74001947419669,0.0,99.7809152872444
51,98.85561236912588,95.6172388604821,0.0,99.65911857803749
52,98.87968826108134,95.5918168533853,0.0,99.68339016074037
53,98.87941534713764,95.56638246041413,0.0,99.68331303288673
54,98.87914230019493,95.49220272904483,0.0,99.6832358674464
55,98.87886912015598,95.46673165976115,0.0,99.68315866439191
56,98.87859580692346,95.465626523647,0.0,99.68308142369575
57,98.8783223603999,95.46452084857351,0.0,99.6830041453304
58,98.8780487804878,95.39024390243902,0.0,99.6829268292683
59,98.87777506708953,95.3403269090022,0.0,99.65845328128812
60,98.87750122010738,95.33918984870668,0.0,99.65836993655442
61,98.8772272394435,94.80107395655358,0.0,99.65828655113498
62,98.876953125,94.677734375,0.0,99.658203125
63,98.87667887667888,94.65201465201466,0.0,99.65811965811966
64,98.87640449438203,94.65070835368833,0.0,99.6580361504641
65,98.87612997801124,94.62496946005375,0.0,99.60908868800391
66,98.87585532746823,94.33040078201368,0.0,99.60899315738025
67,98.8755805426546,94.32901491077976,0.0,99.60889758005378
68,98.87530562347189,94.27872860635696,0.0,99.60880195599022
69,98.87503056982148,94.27732942039619,0.0,99.6087062851553
70,98.8747553816047,94.25146771037183,0.0,99.58414872798434
71,98.87448005872278,94.25006116956203,0.0,99.58404697822364
72,98.87420460107685,94.00391581008321,0.0,99.58394517865884
73,98.87392900856793,93.85556915544676,0.0,99.58384332925337
74,98.87365328109696,93.51126346718902,0.0,99.58374142997062
75,98.87337741856479,93.46069066862601,0.0,99.55914768552535
76,98.87310142087212,93.43459088682019,0.0,99.5345418912298
77,98.79931389365352,93.43298211222739,0.0,99.38740504778241
78,98.40686274509804,93.38235294117646,0.0,99.38725490196079
79,97.98970335866635,93.28266732042167,0.0,99.38710468252023
80,97.13094654242276,93.28102010789603,0.0,99.31338891613537
81,97.13024282560707,93.23031640912436,0.0,99.31322050527349
82,97.1540726202159,93.10598626104023,0.0,99.31305201177625
83,97.079754601227,92.88343558282209,0.0,99.28834355828221
84,97.10358370152184,92.73441335297005,0.0,99.28816887579774
85,97.12742450282347,92.73262951141665,0.0,99.28799410753744
86,97.15127701375246,92.41159135559921,0.0,99.28781925343812
87,97.17514124293785,92.40972733971996,0.0,99.2876443134365
88,97.1990171990172,91.94103194103194,0.0,99.28746928746929
89,96.95256819857458,91.93905136397149,0.0,99.2872941754731
90,96.976401179941,91.51917404129793,0.0,99.23795476892822
91,97.00024588148513,91.24661912957954,0.0,99.23776739611507
92,97.0241023118544,91.24446630595179,0.0,99.21298573536646
93,97.0479704797048,91.16851168511685,0.0,99.21279212792128
94,97.07185039370079,91.09251968503936,0.0,99.21259842519684
95,97.09574206251538,91.09032734432685,0.0,99.16317991631799
96,97.09502708025603,91.08813392417528,0.0,99.16297390448055
97,96.97118936222606,90.88894360994829,0.0,99.16276779118444
98,96.99507389162562,90.32019704433498,0.0,99.16256157635468
99,97.0189701897019,90.29317565902932,0.0,99.16235525991624
100,97.04287826515525,90.24149827501232,0.0,99.162148841794
101,97.06679812669461,90.18979541533153,0.0,99.16194232191275
102,97.09072978303747,90.13806706114399,0.0,99.16173570019724
103,97.11467324290999,89.96300863131935,0.0,99.16152897657213
104,97.13862851504686,89.76319684262457,0.0,99.16132215096201
105,97.16259560819147,89.53861337281026,0.0,99.16111522329139
106,97.18657453109576,89.51135241855873,0.0,99.1609081934847
107,97.21056529252037,89.48407800543076,0.0,99.1607010614663
108,97.23456790123457,89.48148148148148,0.0,99.1604938271605
109,97.2585823660163,89.47888367498147,0.0,99.16028649049147
